802	0	802
3302	0	2500
3561	0	259
6061	0	2500
8561	0	2500
1455	0	1455
1541	0	86
2569	0	1028
2911	0	342
3016	0	105
5271	0	2255
5847	0	576
5985	0	138
6122	0	137
6188	0	66
6316	0	128
6486	0	170
6909	0	423
7281	0	372
8333	0	1052
8490	0	157
8520	0	30
8670	0	150
2500	0	2500
2725	0	225
2761	0	36
5261	0	2500
6778	0	1517
9008	0	2230
10157	0	1149
12657	0	2500
12703	0	46
15203	0	2500
17680	0	2477
19722	0	2042
20823	0	1101
22110	0	1287
23248	0	1138
25736	0	2488
27076	0	1340
29576	0	2500
30710	0	1134
31542	0	832
31750	0	208
32179	0	429
33654	0	1475
36154	0	2500
36253	0	99
36767	0	514
36846	0	79
37519	0	673
37887	0	368
39381	0	1494
41710	0	2329
42605	0	895
44419	0	1814
46048	0	1629
46637	0	589
48345	0	1708
48694	0	349
50441	0	1747
50448	0	7
51074	0	626
51137	0	63
51376	0	239
51435	0	59
52295	0	860
52875	0	580
53085	0	210
53124	0	39
53778	0	654
54191	0	413
54588	0	397
55127	0	539
55375	0	248
56008	0	633
57279	0	1271
57828	0	549
58105	0	277
58212	0	107
58462	0	250
60259	0	1797
60359	0	100
61402	0	1043
61655	0	253
61838	0	183
62042	0	204
62316	0	274
62493	0	177
63064	0	571
63568	0	504
63681	0	113
64237	0	556
64643	0	406
64966	0	323
65934	0	968
65999	0	65
67225	0	1226
67734	0	509
67744	0	10
69364	0	1620
69450	0	86
69678	0	228
69733	0	55
69926	0	193
70344	0	418
70414	0	70
70494	0	80
70552	0	58
70855	0	303
70917	0	62
70950	0	33
72002	0	1052
72034	0	32
72144	0	110
72158	0	14
72244	0	86
74261	0	2017
74551	0	290
75091	0	540
75166	0	75
75456	0	290
75474	0	18
76268	0	794
76326	0	58
76778	0	452
76885	0	107
76942	0	57
77019	0	77
77957	0	938
78005	0	48
78069	0	64
78225	0	156
78235	0	10
78322	0	87
78496	0	174
78504	0	8
78564	0	60
78802	0	238
78815	0	13
78843	0	28
78929	0	86
79189	0	260
79270	0	81
79344	0	74
79401	0	57
79582	0	181
79601	0	19
79623	0	22
79677	0	54
79743	0	66
79996	0	253
81688	0	1692
81696	0	8
81865	0	169
81911	0	46
81930	0	19
82005	0	75
82170	0	165
82211	0	41
82440	0	229
82488	0	48
82677	0	189
82690	0	13
82874	0	184
83527	0	653
83561	0	34
83760	0	199
83801	0	41
83837	0	36
83938	0	101
85166	0	1228
85205	0	39
85308	0	103
85333	0	25
85438	0	105
85614	0	176
85815	0	201
85840	0	25
86367	0	527
86390	0	23
86940	0	550
88504	0	1564
88568	0	64
89016	0	448
89150	0	134
89160	0	10
89261	0	101
89467	0	206
90198	0	731
91121	0	923
91361	0	240
91399	0	38
91414	0	15
91434	0	20
